restaurant_id,restaurant_key,restaurant_name,category,location,address,price_range,overall_rating,review_rating,food_rating,service_rating,ambiance_rating,review_text,review_date,reviewer_name,source,source_restaurant_id,aspect_sentiments,aspect_mentions
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood (Causeway),Mariscos · Mediterránea,Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,4.0,4.4,4.5,4.6,"excelente opción para grupos. hacen quedar muy bien ejecutados cada plato
buena variedad y el clima es muy agradable.
Buena atención",2026-07-12,Ambar A.,degusta,dg_107701,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': False}"
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood (Causeway),Mariscos · Mediterránea,Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,5.0,4.4,4.5,4.6,"Como siempre la comida es muy buena.  Lo más recomendado es pedir los platos con marisco.
Al ser fin de semana de día del padre el lugar estaba lleno por lo que el servicio no fue malo pero si las mesas no eran atendidas con la eficiencia acostumbrada.",2026-07-11,Arleides C.,degusta,dg_107701,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood (Causeway),Mariscos · Mediterránea,Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,5.0,4.4,4.5,4.6,"impresionados gratamente, un ambiente con brisa de mar, atención esmerada, y rápida la comida muy buena, la Picada del Mar deliciosa, los vinos también.",2026-07-06,Ina A.,degusta,dg_107701,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood (Causeway),Mariscos · Mediterránea,Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,4.0,4.4,4.5,4.6,"muy lindas vistas atención buena , la comida bien sin grandes pretensiones , pedí un carpacho de salmón y atún , creo que le faltaba limón aceite de oliva pimienta , tenía una salsa de maracuyá que no es mi favorita . disfrutamos las vistas y la buena atención .",2026-06-22,Cima Sol R.,degusta,dg_107701,"{'comida': 'neutral', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'negative'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood (Causeway),Mariscos · Mediterránea,Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,5.0,4.4,4.5,4.6,"la comida es deliciosa, y los tamaños son muy generosos. pedimos luinguini de pesto y langostinos y que delicia. el ambiente y la amabilidad de todos es muy buena también. Estela fue nuestra mesera, y nos atendió con la mejor energía y todo el conocimiento sobre la carta y las posibilidades de platos. muy rico",2026-06-20,Juan J.,degusta,dg_107701,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,5.0,4.7,4.7,4.7,todo lindo y la comida muy rica y buenas porciones. los postres son deliciosos me encantan todos . recomendable para que vayan,2026-07-16,Fabiola D.,degusta,dg_108945,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': False, 'precio': False, 'ambiente': False}"
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,5.0,4.7,4.7,4.7,"El ambiente es moderno, elegante y muy acogedor. La atención fue excelente desde el momento en que llegamos, siempre atentos y amables. La comida destacó por su presentación, la calidad de los ingredientes y el sabor de cada plato.",2026-07-08,Kevin N.,degusta,dg_108945,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,5.0,4.7,4.7,4.7,Muy buen ambiente no te apresuran con la comida la carne estaba muy bien y el postre delicioso una pavlova con frutos rojos.,2026-07-08,Carlos M.,degusta,dg_108945,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': False, 'precio': False, 'ambiente': True}"
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,4.0,4.7,4.7,4.7,"muy rico todo, el pulpo fue mi favorito.  el postre aunque hermoso no destacó lo suficiente versus precio, fue el 3 leches.",2026-07-07,Lanlai C.,degusta,dg_108945,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': False, 'precio': True, 'ambiente': False}"
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,5.0,4.7,4.7,4.7,"La comida es riquísima, con platos bien presentados, sabores diferentes y una propuesta súper cuidada. El ambiente es lindo, acogedor y con muy buen servicio. Es un lugar donde se pasa rico, se come bien y la experiencia completa se siente especial",2026-07-07,Michelle O.,degusta,dg_108945,"{'comida': 'neutral', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_8129ad3767,frank s place,Frank's Place,Americana · De Autor,Obarrio,"Calle 53 y Av. Ricardo Arango, edificio Zoom Plaza - Obarrio",Desde $25 hasta $35,4.6,5.0,4.6,4.8,4.7,La comida estuvo muy rica el lugar es muy acogedor con su decoración y la atención fue excelente.  Las porciones son considerables por lo que pagas y la forma en que los meseros detallan la descripción del plato te hace saborearlo antes que llegue,2026-07-19,Berta L.,degusta,dg_107761,"{'comida': 'neutral', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_8129ad3767,frank s place,Frank's Place,Americana · De Autor,Obarrio,"Calle 53 y Av. Ricardo Arango, edificio Zoom Plaza - Obarrio",Desde $25 hasta $35,4.6,5.0,4.6,4.8,4.7,"¡Excelente experiencia! Todo estuvo muy bueno y la comida deliciosa. La atención fue excelente, en especial gracias a Hermelinda por su amabilidad. ¡Muy recomendado!",2026-07-13,Alvaro A.,degusta,dg_107761,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': False}"
r_8129ad3767,frank s place,Frank's Place,Americana · De Autor,Obarrio,"Calle 53 y Av. Ricardo Arango, edificio Zoom Plaza - Obarrio",Desde $25 hasta $35,4.6,5.0,4.6,4.8,4.7,"Si buscas un restaurante con un ambiente elegante, buena música y comida que realmente sorprenda, Frank’s Place es una excelente opción en Obarrio. 🍝✨

Probamos el Formaggio Fundido y el Smoked Carpaccio de entrada, un risotto cremoso y un filete de res con chimichurri de la casa como platos fuertes. Pero el momento más memorable fue el postre: el Giardino di Cioccolato, una esfera de chocolate que se derrite con caramelo salado caliente sobre helado de vainilla. 🍫

Las porciones son generosas, los cócteles están muy bien preparados y la relación calidad-precio hace que la experiencia valga totalmente la pena.",2026-07-13,Jennifer B.,degusta,dg_107761,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'positive', 'ambiente': 'positive'}","{'comida': True, 'servicio': False, 'precio': True, 'ambiente': True}"
r_8129ad3767,frank s place,Frank's Place,Americana · De Autor,Obarrio,"Calle 53 y Av. Ricardo Arango, edificio Zoom Plaza - Obarrio",Desde $25 hasta $35,4.6,5.0,4.6,4.8,4.7,Excelente atención de nuestra salonera Hermelinda muy atenta sin ser inavaciba los platos que nos recomendó y vino tinto fueron acertados 100% si desea pasar una cena romántica no dude en ir frank's Place ambiente,2026-07-11,Heidy C.,degusta,dg_107761,"{'comida': 'neutral', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_8129ad3767,frank s place,Frank's Place,Americana · De Autor,Obarrio,"Calle 53 y Av. Ricardo Arango, edificio Zoom Plaza - Obarrio",Desde $25 hasta $35,4.6,5.0,4.6,4.8,4.7,Excelente ambiente y atención exclusiva de  la señora Hermelinda El lugar es acogedor. Si deseas pasarla bien recomendado al 100% de seguro regresaré. Las comida balanceado los cócteles refrescante nuestra Salonera fue muy atenta muy profesional 100% felicidades a franks Place,2026-07-11,Roberto R.,degusta,dg_107761,"{'comida': 'neutral', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_7c973309d5,rulfo,Rulfo,Latinoamericana,Marbella,Calle 52 y Ricardo Arias. Hotel Hyatt Regency - Marbella,Desde $25 hasta $35,4.8,5.0,4.8,4.8,4.8,"Hoy desayuné como reina, muy rico y tostados mis patacones con un omelette  estuvo más que delicioso y eso que lo compré para llevar",2026-07-15,Reyna N.,degusta,dg_109470,"{'comida': 'neutral', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': False, 'precio': False, 'ambiente': False}"
r_7c973309d5,rulfo,Rulfo,Latinoamericana,Marbella,Calle 52 y Ricardo Arias. Hotel Hyatt Regency - Marbella,Desde $25 hasta $35,4.8,5.0,4.8,4.8,4.8,Fui al buffet de Easter /pascua está muy bueno. Me encantó la estación de fiambre y charcutería espectacular. La decoración de pascua y los huevitos muy bonita. La paella 🥘 está riquísima. Y los ceviches hechos en el momento y tu gusto muy rico.,2026-04-13,Alcibiades V.,degusta,dg_109470,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': True, 'servicio': False, 'precio': False, 'ambiente': True}"
r_7c973309d5,rulfo,Rulfo,Latinoamericana,Marbella,Calle 52 y Ricardo Arias. Hotel Hyatt Regency - Marbella,Desde $25 hasta $35,4.8,5.0,4.8,4.8,4.8,"Fuimos al brunch de Pascua. Ambiente muy bueno. El buffet variado y de buena calidad. Hacía mucho tiempo que no comía una paella tan bien preparada.. jugosa, los mariscos fresquisimos y excelente sabor. El servicio excelente, meseros y capitanes muy amables y pendientes de los comensales.",2026-04-07,Angelo D.,degusta,dg_109470,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_7c973309d5,rulfo,Rulfo,Latinoamericana,Marbella,Calle 52 y Ricardo Arias. Hotel Hyatt Regency - Marbella,Desde $25 hasta $35,4.8,4.0,4.8,4.8,4.8,"Restaurante con decoración moderna, buen ambiente, comimos la burger week y estuvo bien. El servicio bastante bueno,creo que pudo estar mejor.",2026-04-04,Susana R.,degusta,dg_109470,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': False, 'servicio': True, 'precio': False, 'ambiente': True}"
r_7c973309d5,rulfo,Rulfo,Latinoamericana,Marbella,Calle 52 y Ricardo Arias. Hotel Hyatt Regency - Marbella,Desde $25 hasta $35,4.8,5.0,4.8,4.8,4.8,"🍔 El martes en la noche pasé a conocer este restaurante, ubicado dentro del hotel Hyatt Regency. Obviamente, para probar su propuesta del Burger Week: 𝙇𝘼 𝙈𝙊𝙉𝙏𝙐𝙉𝘼. Esta hamburguesa es tal como se muestra en las fotos promocionales. La carne estaba bien cocida y deliciosa, y los ingredientes se complementan muy bien. De las mejores que he probado. Como es jugosa, ofrecen guantes para agarrarla. De acompañamientos, traen platanitos y camote con ketchup.

🍮 De postre, pedí un 𝙁𝙇𝘼𝙉. Tenía dos complementos: un manjar y encima un helado que pensé que era de vainilla, pero tenía un sabor distinto y rico que no pude identificar. Lamentablemente, no le pregunté al mesero para que me sacara de dudas. 

👩🏻‍💼 Excelente servicio de su personal, incluyendo la chica que está en la entrada recibiendo las reservas. 

🎷 El ambiente tenía música en vivo, con un saxofonista. Lo recomiendo para ir con amigos o en una cita. Espero volver pronto, en especial por el flan.",2026-03-29,JohannesPTY,degusta,dg_109470,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
r_c63c3217e6,centrico atypical steakhouse,Céntrico Atypical Steakhouse,Parrillada · Internacional,Marbella,Calle Margarita de Vallarino y Calle 50 D este - Marbella,Más de $35,4.6,5.0,4.6,4.7,4.6,"Primera visita desde que cambiaron el nombre y fue una agradable sorpresa, mantienen la excelente atención,, la comida exquisita y variada y un plus sin lugar a duda... cómodos estacionamientos!!!",2026-07-17,Margarita D.,degusta,dg_107736,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}"
